feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128,label
-0.7513052,-1.3878144,-1.077291,0.51255506,0.44987294,-1.3271934,0.5420178,1.5375203,1.4193343,0.14706026,0.51434296,0.7974688,-0.6408332,0.9729323,-1.0144997,0.6861113,-0.8365232,0.5793174,0.72484046,0.7382975,0.000553908,-0.71489716,1.0848137,0.6921638,-1.2271832,0.5994755,1.5763345,1.0895125,0.41520745,0.93638957,-1.4152703,0.5822565,-0.38130763,-0.88991016,-0.40512207,-0.67024815,-0.98657715,-0.8112353,-1.3725946,0.8637036,-0.8613413,-1.1172384,-0.05714911,0.562856,-0.61276203,-1.1335016,0.26501748,-0.89755666,-0.9269111,0.43053287,0.8928887,-0.5986469,-0.019385278,0.2590534,1.0889382,0.95229846,-0.816469,-0.19671902,-0.759497,-0.46473792,-0.7693645,0.3129724,-0.082439564,-0.22202772,-0.73025984,0.3212639,0.07300175,0.9333965,-0.7560692,0.60393053,-0.48695502,0.20303668,-0.9616292,-0.7463966,0.19113943,0.286298,-0.03336354,0.4467126,0.43233314,0.16677883,1.2612971,-0.23769669,0.7736056,-0.55444926,0.55461514,-0.10375401,-1.0649468,-0.38859183,-0.48244193,0.47112283,-0.79033244,0.5422821,-0.2581206,-0.30213764,-0.83862984,-0.25400504,-0.077990964,-0.6053011,0.52817744,-0.058654234,0.81113464,0.6748437,-0.98975545,0.4620063,0.9461201,-0.56586945,0.14234976,1.2333034,-0.052205447,0.78960013,0.7247951,0.45887682,1.4469675,-0.9802038,-0.9552394,0.8579949,-0.08135187,0.34407407,-0.55682987,-1.2316284,1.2979466,-1.159148,-0.5015568,1.3431789,-0.17798159,0.17553642,0.301006,-0.39254752,3
1.0556449,-0.14494234,-0.67886215,0.97121555,-0.15083084,-0.23288739,-0.85179275,0.22674847,0.08520262,-0.5955153,-0.7238589,1.0811697,0.32445893,-0.9233033,-0.41808316,0.117052965,0.026626728,0.49928182,0.7798704,0.8486227,0.90251493,-0.8831559,-0.6455095,-0.96624935,-0.16884361,0.5691089,0.42188674,0.21892557,0.76206714,1.0044332,-0.2649458,0.93314105,-0.9586538,-0.050927013,0.2372437,0.5618653,0.041634522,0.30042863,-0.28234497,0.73769134,0.44451427,0.11884205,-0.069452025,-0.008749839,-0.09654123,0.5672818,-0.5045118,0.17031614,0.48335314,-0.7392198,0.75287825,-0.12512274,-0.73619366,-0.95380616,-0.7412582,0.9388917,0.44527805,1.1044837,0.73974293,-0.0665136,-0.6635018,-0.6028433,-0.8267158,-0.07611882,-0.55334115,0.10687449,-0.9201726,-0.58695,0.6121216,-1.0720943,-0.54259443,-0.63422656,0.62254184,-0.7877562,0.08123808,0.70561975,0.7359748,-0.8713507,0.22324432,0.10604872,-0.5473324,0.33108094,0.2435415,-0.32251418,-0.76980036,0.4675834,0.23163469,-1.0081269,-0.8552522,-0.74549675,-0.68734944,-0.5299906,0.7630901,0.74754316,-0.4988194,-0.34926465,-0.57028604,-0.7896231,-0.6276095,-0.18227254,0.9204246,-0.36820263,0.37674794,1.0602436,0.27424192,-0.47329643,-0.8932237,0.33351266,-0.30993938,-0.28975067,-0.55852216,0.8305419,0.29158783,-0.479661,0.36571148,-0.18968278,-0.21614581,-0.33727533,-0.6571618,-0.050296023,0.20801814,0.6331584,0.71126693,-0.28514796,0.4387392,0.8787453,-0.14601493,0.5038137,0
-0.022748891,-1.0419102,-0.66101485,0.7445924,0.41945803,-1.0660274,0.050701458,1.4200729,1.0964041,-0.21239804,0.5636983,0.8191783,-0.38659728,0.073828295,-1.1037138,0.72253126,0.07963724,0.9624531,0.6891007,0.80332446,-0.012831754,-0.90164983,0.57784504,0.11746182,-1.2424566,0.50075436,0.7894724,1.1239744,0.11400594,0.91560507,-1.2020812,0.37365937,-0.47722363,-0.69475245,-0.24218924,-0.21807037,-0.7142857,-0.20092697,-1.2861526,0.92641467,-0.74867636,-0.42158005,0.37682518,0.2441504,-0.45174482,-0.51296675,0.21293467,-0.66477287,-0.24207494,-0.25486696,0.6394447,-0.13114683,0.025212124,-0.20416787,0.3492426,0.90202224,-0.31277734,-0.05177599,-0.5649376,-0.003715349,-0.5612189,0.10956615,0.0954943,-0.6756185,-0.54283863,0.47962376,0.34906948,0.32486442,-0.041790344,0.26080415,-0.18087523,-0.41729957,-0.46782237,-0.8971909,0.047353245,0.72651625,0.18804073,-0.0783897,0.062241904,0.3112563,0.61358654,-0.19792661,0.31943297,0.022113252,0.483499,0.17051287,-0.65901136,-0.36102775,-0.3403005,0.11085187,-0.3916996,0.39400053,-0.2764018,-0.14301088,-0.4967585,-0.27234685,-0.020089604,-0.7188046,0.7260884,0.38234833,0.26062766,0.6712166,-0.51962095,0.5417682,1.0587385,-0.7098262,-0.03327613,1.1635708,0.37254417,0.78150505,0.8359771,0.43719438,0.95713943,-0.69301766,-0.74525344,0.69932735,-0.28154233,0.74371916,-0.31187347,-1.360691,1.0166676,-0.76569927,-0.27333134,0.5678497,-0.33041576,0.07155711,0.22890039,-0.16566432,3
1.2183198,-1.0074093,0.5446344,0.6500361,-0.96336025,-0.668254,-0.9783964,0.8023438,0.27525634,0.16182326,0.08359169,0.4620029,0.16107918,-0.28388193,-0.22674137,1.041988,0.8400766,1.1505545,-0.24058594,0.72027063,-0.40942225,-1.0263277,0.10705263,-0.610689,-0.9326263,0.6245602,0.39946082,1.6946207,0.46766406,-0.025660114,-0.3481404,0.9135783,-0.37986973,0.72661924,0.8641631,0.5558148,0.25299275,-0.22967635,-0.5660001,0.5547527,-0.5096769,0.78601307,1.3149364,-0.88519317,0.986644,-0.007636979,0.2942641,0.31142995,0.50757533,-0.26034558,-0.4302548,0.86594284,0.036989596,-0.41517022,-0.19814456,0.41968974,0.73247296,0.04606375,0.049754474,1.421636,-0.10998705,-0.6147781,0.6174391,-1.2931947,0.24610692,1.5953797,0.3983887,0.024141688,0.7213129,-0.277515,-0.54749787,-1.2930442,0.32672316,0.24548846,-1.231603,0.71871483,0.5288774,-0.28484955,-0.82578605,1.1318922,0.12839788,0.07856821,-0.2658711,0.8466929,-0.07477947,0.63337237,-0.22328025,0.032927785,0.16478366,-0.23974717,0.19427812,-0.101697594,-0.51119566,0.20637941,0.28915924,0.88850665,0.5397583,0.46076912,0.10205074,0.935686,0.436637,0.12350785,0.58880633,-0.52805215,0.9387142,-0.16303796,-0.066245414,0.7195274,1.3221676,0.58005315,0.96391803,-0.24121314,1.2738029,-0.19448322,-0.28519917,-0.28739953,-1.5444676,0.8190495,0.5572256,-0.6931121,0.13964935,-0.25595486,0.5290751,0.87778544,-0.9024027,0.5888281,1.1243266,0.124235965,2
-0.09666088,-0.104454055,-0.019823076,0.36359295,0.23591602,-0.22244428,0.18071431,0.23486127,0.18947104,-0.43457946,-0.256291,0.2288369,0.14707428,-0.20518716,-0.1607088,-0.41011617,-0.06626665,0.047178756,0.24095127,-0.01890429,0.42516848,0.039772302,-0.21996301,-0.11866913,-0.03854999,0.0799942,-0.009210573,-0.07154213,-0.051447425,0.2724791,-0.03401839,0.07132552,-0.13608752,-0.20892785,-0.04099665,-0.045250706,-0.24753033,0.40273783,-0.20752215,0.20587371,0.027771179,-0.024216251,-0.19061589,0.15856831,0.12015843,0.10359466,-0.27459595,-0.06478508,-0.018147042,-0.029596867,0.45048895,0.10823626,-0.064571254,-0.21003799,-0.26768076,0.34496167,-0.08395841,0.3246193,-0.06160237,-0.33098346,-0.3189546,-0.11425432,-0.18500476,0.14927328,-0.13582341,-0.05414014,-0.20396729,-0.2205753,-0.360179,-0.29130244,0.21218917,0.17874628,0.001085735,-0.35405776,0.08294913,0.035838377,-0.09749918,-0.22388685,0.4700529,-0.22715262,-0.0889302,0.1472972,0.1516542,-0.3697934,-0.05670482,-0.1664135,-0.09634764,-0.22721402,-0.1330171,-0.1383099,-0.13311294,-0.08064183,0.16209565,-0.001416336,-0.26706135,-0.22862232,-0.19325063,-0.43082637,-0.15922765,0.007928411,0.14147042,-0.02808689,0.034303833,0.3740353,0.2609542,-0.024412686,-0.32599816,-0.030885052,-0.25344554,-0.043226313,0.100595236,0.22841553,0.117857575,-0.08436329,-0.070154555,-0.15311238,0.12454664,-0.2805794,-0.49799466,-0.052872322,0.026099771,-0.028691225,-0.04948322,-0.08885113,0.08136799,-0.015854051,-0.3572941,0.10241823,0
0.5641028,-0.05598627,-0.7075674,0.6953905,0.17271678,-0.5610865,-0.3921559,0.06719803,-0.00618997,-0.45825642,-0.5764119,0.9008904,0.2020543,-0.7956591,-0.7362207,-0.13673322,-0.26121986,0.64836234,0.9799028,1.0613579,0.6635295,-0.49355116,-0.6161616,-0.33803743,-0.37016284,0.13709617,0.41574126,-0.33686784,0.29535192,0.59321463,-0.36286822,0.618966,-0.7318135,-0.24046677,0.024938878,0.1993942,0.03363842,0.14316973,-0.11835349,0.78656054,0.37065318,-0.14596395,-0.21658702,-0.20110422,-0.26058954,0.46998248,-0.48876283,-0.05778441,0.42689586,-0.33260113,0.84202325,-0.3779491,-0.46172494,-0.6724305,-0.4338328,0.87757564,0.000500917,0.7506054,0.4747614,-0.54827744,-0.8439916,-0.19396749,-0.42221928,0.04304899,-0.5732572,0.037714873,-0.62503177,-0.4540866,0.640863,-0.79878867,-0.66662806,-0.22882754,0.49445587,-0.6975322,0.033063587,0.7454216,0.65212643,-0.75497085,0.5165485,-0.06813893,-0.533596,0.056902174,0.27399045,-0.3791743,-0.44708622,0.21232778,0.2926116,-0.8290758,-0.9129417,-0.72609264,-1.0794808,-0.3452749,0.5823394,0.33943313,-0.43474072,-0.4867703,-0.5335829,-0.5591781,-0.56324893,-0.1276285,0.2545209,-0.32763094,0.2647397,1.2507752,0.002816632,-0.36383417,-0.70567566,0.7500236,-0.11410469,-0.5398148,-0.5062619,0.70164376,-0.085856535,-0.777144,0.14002182,0.07552746,0.04800112,-0.2452606,-0.8512579,0.18667181,0.37267503,0.35762993,0.2688101,0.11602255,0.38917735,0.5224225,-0.27861148,0.24429433,0
0.037113782,0.13485964,-0.99959886,0.9006254,1.2416736,-0.16448197,0.084410585,0.078301035,-0.20352022,-0.09809487,-0.43073395,1.1075557,-0.4531656,-0.46548176,-0.37766868,-1.0881395,-0.85335237,-0.5768316,0.82230765,0.43846023,0.89771837,0.23470289,-0.27875984,-0.4411646,0.37519813,0.04335799,0.8687918,-0.4630159,0.11773882,1.0774297,-0.27755833,0.40055418,-0.8245041,-1.0217774,-0.6988271,-0.19903493,-0.9814113,-0.22759226,-0.44140682,0.49985453,0.2648351,-0.09819689,-1.2102828,1.1930637,-1.0762334,0.15836093,-0.09159578,-0.6461139,-0.31659955,0.43569955,1.7586876,-0.79945964,-0.31485045,-0.49556726,-0.42392525,1.1248572,-0.13562025,0.9990015,0.5428749,-1.298771,-0.22597188,0.3389765,-1.8774363,0.6255365,-0.9302439,-0.9875449,-0.8977133,0.07636277,-0.45722836,-0.9639514,0.0761013,0.612311,-0.008527852,-0.7348464,1.2243888,-0.28258255,0.3585526,-0.14574265,1.4853874,-1.133378,-0.4088484,-0.34540144,1.1680442,-1.5157896,-0.22322318,-0.16990417,-0.26928267,-1.6304227,-1.373735,-0.560976,-0.8916819,0.13218544,0.49329606,0.31443495,-1.240481,-1.2223315,-1.2709016,-1.2919934,-0.7532023,-1.4551066,0.44019535,0.17208803,-0.4203428,1.7268739,-0.7924169,-0.92183715,-0.48962283,-0.3170628,-0.87400866,-0.2772533,-0.7587163,1.1483903,-0.48284557,0.12783307,0.0529702,0.38227788,0.50003004,-1.0017945,-1.5023367,0.5614345,-0.20674415,0.5135971,-0.2867002,-0.40904158,1.3443447,0.16047701,-1.4713435,-0.56731254,3
0.56530106,-0.37081435,0.011383897,0.40783274,-0.11676587,-0.35945743,-0.43043318,0.12627342,0.14965771,-0.03827316,-0.29101294,0.36041918,0.19314997,-0.29916254,-0.33187932,0.32571316,0.04918018,0.43269604,0.4163569,0.579684,0.23945019,-0.19773844,-0.27127588,-0.12700045,-0.46104383,0.34074503,0.2492989,0.42901123,0.19981988,0.3155385,-0.1339209,0.37717718,-0.371053,0.27802217,0.36161643,0.46305892,0.056577988,0.037322737,-0.19218591,0.3628074,-0.038761508,0.33834833,0.51685953,-0.5039307,0.36308464,0.17205366,-0.09054094,0.040191162,0.11853273,-0.24265848,0.4735646,0.47383416,-0.05457082,-0.3422677,-0.53665584,0.4928514,0.31944185,0.35981667,0.26397988,0.12060655,-0.13172199,-0.5310354,0.07935736,0.08502112,-0.09210605,0.4693237,-0.005655665,-0.16927798,0.6677505,-0.15813635,-0.2586058,-0.5893528,0.20598558,-0.14889532,-0.35555726,0.357828,0.17389894,-0.4478649,-0.3406631,0.52866644,-0.28139699,0.12084448,-0.18341164,-0.05698416,-0.30150872,0.3569072,0.1871509,-0.20296349,-0.06025718,-0.35647622,-0.27008063,-0.34316579,0.16942613,0.36040953,0.20186745,0.28649572,-0.06103873,0.055903226,-0.2882021,0.12473215,-0.05430722,0.12771374,0.33106565,0.29459947,0.39901614,0.15544946,-0.2630476,0.3825933,0.3664178,-0.053706337,0.15859866,0.15417635,0.16098979,-0.4005556,0.2847568,0.001285894,-0.51049286,0.38375798,0.1353537,-0.30713123,-0.04236163,0.40326867,0.42939192,0.12040003,-0.05838161,0.3524929,0.3782284,0.17264734,0
0.107921846,0.6742687,0.20565984,-0.16786988,0.14741613,0.85601825,-0.06424947,-0.77137804,-0.98726636,0.02880875,-0.70301914,-0.2225731,0.001728925,-0.37476555,0.8410302,-1.3124176,-0.10714811,-1.1010035,-0.39031047,-0.25471693,0.5425475,0.655311,-0.75820655,-0.1738586,0.9343436,-0.762804,-0.4697063,-0.6347136,-0.31522638,-0.07683268,0.8170708,-0.3913006,0.121755876,0.23637074,-0.09114334,0.37572777,-0.13840471,0.09352339,0.47268084,-0.4544544,0.4157723,0.78835994,-0.8494966,0.63418436,0.4275603,0.92251027,0.08509412,0.44019586,0.049566146,0.18099217,0.26769772,0.36478603,-0.092999436,0.14312167,-0.9036853,-0.11746595,0.29567516,0.7952988,0.7476517,-0.5022412,0.47780824,-0.25490558,-1.101085,1.2069117,0.20045997,-0.83407354,-0.8481719,-0.30995676,-0.23849843,-0.6243116,0.8276066,0.4589217,0.554211,0.46951568,0.3100002,-0.7943429,-0.40274733,-0.1601161,0.20729476,-0.77155083,-0.94412744,-0.21250391,0.46340576,-0.53172153,-0.23342586,-0.6103109,0.45234197,-0.3626432,-0.03729997,-0.31509322,0.29286978,-0.015507896,0.043238733,0.21338348,-0.24231014,-0.37313873,-0.5777891,-0.21696228,-0.9243653,-1.012158,-0.12541623,-0.30826974,0.27931708,0.35302782,-0.9725651,0.017407803,-0.32429808,-1.109003,-0.58768123,-0.44641453,-0.9502977,-0.27269652,-1.0129514,0.9716553,0.5290701,-0.88874066,0.6698856,-0.89340055,-0.3198143,1.1906245,-0.9817347,0.84141403,0.37019387,-1.2964215,1.0887312,-0.25654185,-0.87894577,-0.09516809,1
-0.61385983,-1.3586862,0.84505653,-0.39144018,-0.3390376,-0.7790918,0.8274996,1.1895653,1.1627506,0.7091923,1.2783202,-0.41952005,-0.5050949,1.3529549,-0.39779535,0.7021357,0.74751735,0.97586364,-0.6281354,-0.3710413,-1.1106569,-0.07881103,1.1107292,0.9176405,-1.1849259,-0.16391218,0.22607225,1.4130183,-0.5626376,-0.5963272,-0.77442735,-0.6564189,0.747697,0.2282165,-0.16972046,-0.73761266,-0.12293403,-0.45951355,-0.9875947,-0.34951404,-1.2930443,0.35462674,1.0788751,-0.17256652,0.42590657,-1.1739992,0.7921448,-0.32948828,-0.7921229,0.29850045,-0.9103986,0.7973347,0.77754676,0.8887774,1.1016526,-0.8281948,-0.56652087,-1.19638,-1.2944993,0.76560396,0.3542037,0.41320544,0.9227203,-1.1847258,0.8048943,0.8887965,1.343055,1.1375349,-0.5401292,1.3441395,0.24397604,-0.07839865,-0.9806351,0.46428615,-0.4876428,-0.33695334,-0.5455134,1.0211085,-0.44356856,0.887816,1.2340024,-0.4205718,-0.56164885,0.914538,1.0940441,-0.6977611,-0.9076716,1.3686012,1.3227607,1.1468365,0.48849908,0.87847733,-1.1244037,-0.6162401,0.67467743,0.9024216,1.2737978,0.8916421,1.3283738,1.1502086,-0.40444097,0.892024,-0.46820748,-1.1647629,0.8023509,0.30789033,1.2099243,0.8653129,1.2603141,1.2947085,1.4846426,-0.99050367,1.3304996,0.20953818,-1.2730948,0.13663614,-0.5490641,1.2699276,0.89602387,-1.3769251,0.6384141,-1.4474324,-0.8058902,1.0348897,-1.4980438,-0.8536559,0.78901887,-0.47822788,2
