feature1,feature2,feature4,feature5,feature6,feature7,feature12,feature14,feature16,feature17,feature20,feature23,feature24,feature26,feature28,feature33,feature36,feature38,feature40,feature44,feature46,feature47,feature49,feature50,feature51,feature52,feature53,feature55,feature58,feature60,feature61,feature63,feature64,feature65,feature66,feature68,feature70,feature71,feature75,feature76,feature77,feature80,feature81,feature82,feature84,feature85,feature88,feature89,feature91,feature92,feature93,feature94,feature97,feature101,feature103,feature104,feature105,feature107,feature110,feature111,feature112,feature117,feature119,label
-1.3878144,-1.077291,0.44987294,-1.3271934,0.5420178,1.5375203,-0.6408332,-1.0144997,-0.8365232,0.5793174,0.000553908,0.6921638,-1.2271832,1.5763345,0.41520745,-0.88991016,-0.98657715,-1.3725946,-0.8613413,-0.61276203,0.26501748,-0.89755666,0.43053287,0.8928887,-0.5986469,-0.019385278,0.2590534,0.95229846,-0.759497,-0.7693645,0.3129724,-0.22202772,-0.73025984,0.3212639,0.07300175,-0.7560692,-0.48695502,0.20303668,0.286298,-0.03336354,0.4467126,1.2612971,-0.23769669,0.7736056,0.55461514,-0.10375401,-0.48244193,0.47112283,0.5422821,-0.2581206,-0.30213764,-0.83862984,-0.6053011,0.6748437,0.4620063,0.9461201,-0.56586945,1.2333034,0.7247951,0.45887682,1.4469675,0.34407407,-1.2316284,3
-0.14494234,-0.67886215,-0.15083084,-0.23288739,-0.85179275,0.22674847,0.32445893,-0.41808316,0.026626728,0.49928182,0.90251493,-0.96624935,-0.16884361,0.42188674,0.76206714,-0.050927013,0.041634522,-0.28234497,0.44451427,-0.09654123,-0.5045118,0.17031614,-0.7392198,0.75287825,-0.12512274,-0.73619366,-0.95380616,0.9388917,0.73974293,-0.6635018,-0.6028433,-0.07611882,-0.55334115,0.10687449,-0.9201726,0.6121216,-0.54259443,-0.63422656,0.70561975,0.7359748,-0.8713507,-0.5473324,0.33108094,0.2435415,-0.76980036,0.4675834,-0.8552522,-0.74549675,-0.5299906,0.7630901,0.74754316,-0.4988194,-0.7896231,-0.36820263,1.0602436,0.27424192,-0.47329643,0.33351266,-0.55852216,0.8305419,0.29158783,-0.33727533,-0.050296023,0
-1.0419102,-0.66101485,0.41945803,-1.0660274,0.050701458,1.4200729,-0.38659728,-1.1037138,0.07963724,0.9624531,-0.012831754,0.11746182,-1.2424566,0.7894724,0.11400594,-0.69475245,-0.7142857,-1.2861526,-0.74867636,-0.45174482,0.21293467,-0.66477287,-0.25486696,0.6394447,-0.13114683,0.025212124,-0.20416787,0.90202224,-0.5649376,-0.5612189,0.10956615,-0.6756185,-0.54283863,0.47962376,0.34906948,-0.041790344,-0.18087523,-0.41729957,0.72651625,0.18804073,-0.0783897,0.61358654,-0.19792661,0.31943297,0.483499,0.17051287,-0.3403005,0.11085187,0.39400053,-0.2764018,-0.14301088,-0.4967585,-0.7188046,0.6712166,0.5417682,1.0587385,-0.7098262,1.1635708,0.8359771,0.43719438,0.95713943,0.74371916,-1.360691,3
-1.0074093,0.5446344,-0.96336025,-0.668254,-0.9783964,0.8023438,0.16107918,-0.22674137,0.8400766,1.1505545,-0.40942225,-0.610689,-0.9326263,0.39946082,0.46766406,0.72661924,0.25299275,-0.5660001,-0.5096769,0.986644,0.2942641,0.31142995,-0.26034558,-0.4302548,0.86594284,0.036989596,-0.41517022,0.41968974,0.049754474,-0.10998705,-0.6147781,-1.2931947,0.24610692,1.5953797,0.3983887,0.7213129,-0.54749787,-1.2930442,0.71871483,0.5288774,-0.28484955,0.12839788,0.07856821,-0.2658711,-0.07477947,0.63337237,0.16478366,-0.23974717,-0.101697594,-0.51119566,0.20637941,0.28915924,0.46076912,0.12350785,-0.52805215,0.9387142,-0.16303796,0.7195274,0.96391803,-0.24121314,1.2738029,0.8190495,-0.6931121,2
-0.104454055,-0.019823076,0.23591602,-0.22244428,0.18071431,0.23486127,0.14707428,-0.1607088,-0.06626665,0.047178756,0.42516848,-0.11866913,-0.03854999,-0.009210573,-0.051447425,-0.20892785,-0.24753033,-0.20752215,0.027771179,0.12015843,-0.27459595,-0.06478508,-0.029596867,0.45048895,0.10823626,-0.064571254,-0.21003799,0.34496167,-0.06160237,-0.3189546,-0.11425432,0.14927328,-0.13582341,-0.05414014,-0.20396729,-0.360179,0.21218917,0.17874628,0.035838377,-0.09749918,-0.22388685,-0.0889302,0.1472972,0.1516542,-0.05670482,-0.1664135,-0.1330171,-0.1383099,-0.08064183,0.16209565,-0.001416336,-0.26706135,-0.43082637,-0.02808689,0.3740353,0.2609542,-0.024412686,-0.030885052,0.100595236,0.22841553,0.117857575,-0.2805794,-0.052872322,0
-0.05598627,-0.7075674,0.17271678,-0.5610865,-0.3921559,0.06719803,0.2020543,-0.7362207,-0.26121986,0.64836234,0.6635295,-0.33803743,-0.37016284,0.41574126,0.29535192,-0.24046677,0.03363842,-0.11835349,0.37065318,-0.26058954,-0.48876283,-0.05778441,-0.33260113,0.84202325,-0.3779491,-0.46172494,-0.6724305,0.87757564,0.4747614,-0.8439916,-0.19396749,0.04304899,-0.5732572,0.037714873,-0.62503177,0.640863,-0.66662806,-0.22882754,0.7454216,0.65212643,-0.75497085,-0.533596,0.056902174,0.27399045,-0.44708622,0.21232778,-0.9129417,-0.72609264,-0.3452749,0.5823394,0.33943313,-0.43474072,-0.5591781,-0.32763094,1.2507752,0.002816632,-0.36383417,0.7500236,-0.5062619,0.70164376,-0.085856535,-0.2452606,0.18667181,0
0.13485964,-0.99959886,1.2416736,-0.16448197,0.084410585,0.078301035,-0.4531656,-0.37766868,-0.85335237,-0.5768316,0.89771837,-0.4411646,0.37519813,0.8687918,0.11773882,-1.0217774,-0.9814113,-0.44140682,0.2648351,-1.0762334,-0.09159578,-0.6461139,0.43569955,1.7586876,-0.79945964,-0.31485045,-0.49556726,1.1248572,0.5428749,-0.22597188,0.3389765,0.6255365,-0.9302439,-0.9875449,-0.8977133,-0.45722836,0.0761013,0.612311,-0.28258255,0.3585526,-0.14574265,-0.4088484,-0.34540144,1.1680442,-0.22322318,-0.16990417,-1.373735,-0.560976,0.13218544,0.49329606,0.31443495,-1.240481,-1.2919934,0.17208803,1.7268739,-0.7924169,-0.92183715,-0.3170628,-0.7587163,1.1483903,-0.48284557,-1.0017945,0.5614345,3
-0.37081435,0.011383897,-0.11676587,-0.35945743,-0.43043318,0.12627342,0.19314997,-0.33187932,0.04918018,0.43269604,0.23945019,-0.12700045,-0.46104383,0.2492989,0.19981988,0.27802217,0.056577988,-0.19218591,-0.038761508,0.36308464,-0.09054094,0.040191162,-0.24265848,0.4735646,0.47383416,-0.05457082,-0.3422677,0.4928514,0.26397988,-0.13172199,-0.5310354,0.08502112,-0.09210605,0.4693237,-0.005655665,0.6677505,-0.2586058,-0.5893528,0.357828,0.17389894,-0.4478649,-0.28139699,0.12084448,-0.18341164,-0.30150872,0.3569072,-0.06025718,-0.35647622,-0.34316579,0.16942613,0.36040953,0.20186745,0.055903226,0.12771374,0.29459947,0.39901614,0.15544946,0.3825933,0.15859866,0.15417635,0.16098979,0.38375798,-0.30713123,0
0.6742687,0.20565984,0.14741613,0.85601825,-0.06424947,-0.77137804,0.001728925,0.8410302,-0.10714811,-1.1010035,0.5425475,-0.1738586,0.9343436,-0.4697063,-0.31522638,0.23637074,-0.13840471,0.47268084,0.4157723,0.4275603,0.08509412,0.44019586,0.18099217,0.26769772,0.36478603,-0.092999436,0.14312167,-0.11746595,0.7476517,0.47780824,-0.25490558,1.2069117,0.20045997,-0.83407354,-0.8481719,-0.23849843,0.8276066,0.4589217,-0.7943429,-0.40274733,-0.1601161,-0.94412744,-0.21250391,0.46340576,-0.23342586,-0.6103109,-0.03729997,-0.31509322,-0.015507896,0.043238733,0.21338348,-0.24231014,-0.21696228,-0.30826974,0.35302782,-0.9725651,0.017407803,-1.109003,-0.9502977,-0.27269652,-1.0129514,-0.89340055,1.1906245,1
-1.3586862,0.84505653,-0.3390376,-0.7790918,0.8274996,1.1895653,-0.5050949,-0.39779535,0.74751735,0.97586364,-1.1106569,0.9176405,-1.1849259,0.22607225,-0.5626376,0.2282165,-0.12293403,-0.9875947,-1.2930443,0.42590657,0.7921448,-0.32948828,0.29850045,-0.9103986,0.7973347,0.77754676,0.8887774,-0.8281948,-1.2944993,0.3542037,0.41320544,-1.1847258,0.8048943,0.8887965,1.343055,-0.5401292,0.24397604,-0.07839865,-0.33695334,-0.5455134,1.0211085,1.2340024,-0.4205718,-0.56164885,1.0940441,-0.6977611,1.3227607,1.1468365,0.87847733,-1.1244037,-0.6162401,0.67467743,0.8916421,0.892024,-1.1647629,0.8023509,0.30789033,0.8653129,1.4846426,-0.99050367,1.3304996,1.2699276,-1.3769251,2
